stations_id;name;2017_avg_T(°C);2018_avg_T(°C);2019_avg_T(°C);DTM50_Altitude;altitude;latitude;longitude
73;Aldersbach-Kriestorf;9.38;10.73;10.16;340.399993896484;340;48.6159;13.050599999999998
142;Altomünster-Maisbrunn;9.19;10.16;9.81;509.600006103516;511;48.406;11.3117
151;Amberg-Unterammersricht;9.3;10.39;10.09;381.5;382;49.4691;11.8546
154;Amerang-Pfaffing;8.91;9.98;9.57;515.900024414062;516;48.0197;12.292499999999999
191;Arnstein-Müdesheim;9.61;10.58;10.19;215.699996948242;217;49.9694;9.9114
217;Attenkam;8.94;9.86;9.55;669.200012207031;670;47.8774;11.3643
232;Augsburg;9.15;10.05;9.66;461.5;462;48.4253;10.941700000000003
282;Bamberg;9.53;10.74;10.3;240.100006103516;240;49.8743;10.9206
320;Heinersreuth-Vollhof;9.08;10.05;9.68;349.399993896484;350;49.9666;11.519799999999998
856;Chieming;9.37;10.31;9.95;550.600036621094;551;47.8843;12.5404
867;Lautertal-Oberlauter;;10.45;9.95;342.800018310547;344;50.3066;10.9679
983;Dillingen/Donau-Fristingen;9.33;10.33;9.88;418.399993896484;419;48.5562;10.5599
1103;Ebersberg-Halbing;9.09;;9.68;589.400024414062;592;48.1003;11.9872
1107;Ebrach;8.84;;9.56;345.600006103516;346;49.852;10.4991
1161;Eichstätt-Landershofen;9.04;10.11;9.58;384.200012207031;384;48.8777;11.234900000000001
1262;München-Flughafen;9.18;10.18;9.84;445.30001831054705;446;48.3477;11.8134
1279;Möhrendorf-Kleinseebach;10.08;11.3;10.77;267.600006103516;268;49.6497;11.0075
1332;Falkenberg,Kr.Rottal-Inn;9.53;10.66;10.24;471.30001831054705;471;48.48319999999999;12.7241
1357;Fichtelberg/Oberfranken-Hütts;7.34;8.3;8.2;656.700012207031;655;49.98069999999999;11.8376
1550;Garmisch-Partenkirchen;8.06;8.91;8.64;718.0;719;47.483;11.0621
1587;Gelbelsee;9.07;10.19;9.93;535.200012207031;536;48.94809999999999;11.4289
1721;Gräfenberg-Kasberg;8.97;10.33;9.78;505.899993896484;506;49.66400000000001;11.2239
1735;Grainet-Rehberg;8.26;9.53;9.17;628.299987792969;628;48.7894;13.629
1832;Großer Arber;;5.05;4.94;1433.20007324219;436;49.1129;13.1338
1886;Günzburg;9.08;10.03;9.56;443.399993896484;444;48.4878;10.2608
2023;Harburg;9.26;10.38;9.97;498.700012207031;501;48.7918;10.7062
2261;Hof;8.18;9.14;9.03;565.100036621094;565;50.3123;11.876
2290;Hohenpeißenberg;8.02;8.94;8.68;971.1000366210941;977;47.80089999999999;11.010799999999998
2319;Holzkirchen;8.72;9.65;9.2;686.2000122070309;685;47.88230000000001;11.6961
2410;Ingolstadt (Flugplatz);9.61;;10.29;363.899993896484;364;48.7111;11.5363
2480;Kahl/Main;11.06;12.2;11.66;107.300003051758;108;50.0643;8.993
2559;Kempten;8.55;9.45;8.91;702.6000366210941;705;47.7233;10.3348
2597;Kissingen, Bad;9.63;10.76;10.31;281.0;282;50.224;10.0792
2600;Kitzingen;10.57;11.64;11.17;192.100006103516;193;49.7363;10.1781
2680;Königshofen, Bad;9.14;10.2;9.2;288.5;289;50.284;10.4456
2700;Kösching;9.44;10.68;10.25;415.30001831054705;416;48.8302;11.4872
2708;Kohlgrub, Bad (Rosshof);8.2;9.08;8.77;737.6000366210941;742;47.6652;11.0805
2750;Kronach;8.95;10.0;9.69;310.100006103516;310;50.2524;11.3209
2773;Kümmersbruck;;10.01;;414.899993896484;415;49.4283;11.9016
2905;Lechfeld;;9.81;;549.600036621094;550;48.1849;10.8507
3244;Memmingen;8.67;9.47;9.04;613.400024414062;614;47.9821;10.1384
3271;Metten;9.02;10.53;10.07;314.399993896484;314;48.85479999999999;12.9189
3307;Mittenwald-Buckelwiesen;7.06;;7.64;984.100036621094;984;47.4779;11.2653
3319;Röllbach;10.14;11.22;10.63;237.0;239;49.7644;9.253
3366;Mühldorf;9.14;10.19;9.69;405.600006103516;406;48.279;12.5024
3379;München-Stadt;10.4;11.31;10.97;514.900024414062;515;48.163199999999996;11.542899999999998
3484;Neuburg/Donau (Flugplatz);;10.57;10.17;378.800018310547;380;48.7085;11.2147
3485;Neuburg/Kammel-Langenhaslach;9.2;10.05;9.57;486.399993896484;486;48.3115;10.3773
3571;Neustadt am Kulm-Filchendorf;8.43;9.66;9.2;450.600006103516;452;49.8174;11.8638
3621;Reimlingen;9.54;10.5;10.14;434.0;435;48.8253;10.5067
3667;Nürnberg-Netzstall;8.92;10.16;9.54;368.899993896484;369;49.4258;11.2539
3668;Nürnberg;10.04;11.2;10.66;313.600006103516;314;49.50300000000001;11.054899999999998
3679;Kiefersfelden-Gach;8.71;9.92;9.4;519.100036621094;518;47.6187;12.1665
3730;Oberstdorf;7.19;8.2;7.66;805.6000366210941;806;47.3984;10.2759
3739;Oberviechtach;8.17;9.36;9.19;597.200012207031;596;49.4521;12.4365
3836;Ostheim v.d. Rhön;8.82;9.94;9.56;312.600006103516;314;50.4538;10.2211
3857;Oy-Mittelberg-Petersthal;7.73;8.62;8.18;885.2000122070309;886;47.6362;10.3892
3875;Parsberg/Oberpfalz-Eglwang;8.79;9.83;9.56;547.299987792969;549;49.151;11.6896
3975;Pommelsbrunn-Mittelburg;8.6;9.82;9.55;520.799987792969;522;49.4777;11.5357
4104;Regensburg;9.68;10.8;10.45;360.80001831054705;365;49.0425;12.1019
4261;Rosenheim;9.48;10.48;10.16;441.899993896484;442;47.8753;12.128
4280;Roth;;10.47;10.21;385.399993896484;386;49.2162;11.1035
4287;Rothenburg ob der Tauber;9.55;10.67;10.27;414.399993896484;415;49.384800000000006;10.1732
4354;Saldenburg-Entschenreuth;8.49;9.83;9.44;454.80001831054705;457;48.7832;13.3146
4377;Sandberg;8.9;10.2;9.78;517.799987792969;518;50.3518;10.0034
4548;Schönwald/Ofr.-Brunn;7.54;8.42;;607.900024414062;608;50.1847;12.0791
4559;Schorndorf-Knöbling;8.59;9.47;9.39;400.30001831054705;398;49.1644;12.6175
4592;Schwandorf;9.46;10.5;10.22;356.100006103516;356;49.3278;12.0871
4704;Sigmarszell-Zeisertsweiler;9.69;10.69;10.14;508.700012207031;508;47.5776;9.7404
4706;Simbach/Inn;9.62;10.85;10.3;357.600006103516;358;48.271800000000006;13.027300000000002
4911;Straubing;9.48;10.79;10.28;350.399993896484;351;48.82750000000001;12.5597
5017;Teuschnitz;7.51;8.65;8.49;633.400024414062;633;50.400200000000005;11.388799999999998
5046;Tirschenreuth-Lodermühl;8.04;9.16;8.86;499.899993896484;501;49.8576;12.3542
5111;Trostberg;9.18;10.22;9.92;558.200012207031;560;48.0311;12.5396
5149;Gollhofen;9.84;10.91;10.46;306.700012207031;306;49.57410000000001;10.1915
5397;Weiden;9.07;10.16;9.72;438.0;440;49.6662;12.184400000000002
5404;Weihenstephan-Dürnast;9.13;10.15;9.72;475.399993896484;477;48.4024;11.6946
5440;Weißenburg-Emetzheim;9.5;10.41;10.05;439.30001831054705;439;49.01149999999999;10.9308
5538;Wielenbach (Demollstr.);9.01;;9.46;550.400024414062;551;47.8827;11.1576
5705;Würzburg;10.36;11.66;11.17;268.100006103516;268;49.7704;9.9576
5792;Zugspitze;-3.86;-3.0;-3.2;2943.40014648438;965;47.421;10.9848
5800;Zwiesel;7.75;8.72;8.41;614.799987792969;615;49.028;13.2385
5856;Fürstenzell;9.09;10.48;10.01;476.80001831054705;476;48.5451;13.3532
5941;Reit im Winkl;7.54;8.61;8.17;685.7000122070309;686;47.6754;12.4698
6158;Weidenbach-Weiherschneidbach;8.86;9.97;9.48;454.30001831054705;454;49.2249;10.6085
6336;Lohr/Main-Halsbach;9.48;10.62;10.12;288.0;288;50.013200000000005;9.654
6346;Maisach-Galgen;9.2;10.04;9.78;530.900024414062;531;48.207;11.2035
6347;Schonungen-Mainberg;9.79;11.05;10.66;304.200012207031;305;50.0579;10.2972
7075;Elsendorf-Horneck;9.3;10.36;9.96;429.100006103516;429;48.702;11.8493
7105;Siegsdorf-Höll;8.49;9.44;9.26;718.7000122070309;719;47.835;12.6548
7319;Donauwörth-Osterweiler;;;9.86;434.5;435;48.7374;10.7393
7350;Prackenbach-Neuhäusl;8.26;9.35;9.23;584.700012207031;585;49.1088;12.823100000000002
7369;Feuchtwangen-Heilbronn;8.85;9.85;9.42;475.700012207031;475;49.162299999999995;10.3661
7370;Waldmünchen;8.26;9.32;9.05;498.399993896484;499;49.391;12.6838
7394;Wunsiedel-Schönbrunn;7.69;8.72;8.59;622.100036621094;622;50.0315;11.9745
7395;Gottfrieding;9.36;10.61;10.06;350.5;351;48.6595;12.5388
7412;Neuhütten/Spessart;8.98;10.04;9.64;339.600006103516;340;50.0083;9.4238
7424;Piding;8.94;9.91;9.69;456.0;457;47.7724;12.9073
7431;Oberhaching-Laufzorn;8.72;9.6;9.06;603.600036621094;604;48.013;11.5524
13710;Landshut-Reithof;9.58;10.61;10.33;489.399993896484;490;48.5734;12.257600000000002
15555;Kaufbeuren-Oberbeuren;8.51;9.42;8.99;814.900024414062;815;47.8761;10.5849
